保存日线数据，代码： 002343, 插入：1211条, 更新：   0条
保存日线数据，代码： 002813, 插入： 840条, 更新：   0条
保存日线数据，代码： 002813, 插入： 840条, 更新：   0条
保存日线数据，代码： 603236, 插入： 204条, 更新：   0条
保存日线数据，代码： 603236, 插入： 204条, 更新：   0条
保存日线数据，代码： 603005, 插入：1305条, 更新：   0条
保存日线数据，代码： 603005, 插入：1305条, 更新：   0条
保存日线数据，代码： 300724, 插入： 428条, 更新：   0条
保存日线数据，代码： 300724, 插入： 428条, 更新：   0条
保存日线数据，代码： 600830, 插入：1307条, 更新：   0条
保存日线数据，代码： 600830, 插入：1307条, 更新：   0条
保存日线数据，代码： 002353, 插入：1204条, 更新：   0条
保存日线数据，代码： 002353, 插入：1204条, 更新：   0条
保存日线数据，代码： 002975, 插入：  71条, 更新：   0条
保存日线数据，代码： 002975, 插入：  71条, 更新：   0条
保存日线数据，代码： 603095, 插入：  22条, 更新：   0条
保存日线数据，代码： 603095, 插入：  22条, 更新：   0条
保存日线数据，代码： 300144, 插入：1233条, 更新：   0条
保存日线数据，代码： 300144, 插入：1233条, 更新：   0条
保存日线数据，代码： 603313, 插入： 877条, 更新：   0条
保存日线数据，代码： 603313, 插入： 877条, 更新：   0条
保存日线数据，代码： 600825, 插入：1243条, 更新：   0条
保存日线数据，代码： 600825, 插入：1243条, 更新：   0条
保存日线数据，代码： 688139, 插入： 137条, 更新：   0条
保存日线数据，代码： 688139, 插入： 137条, 更新：   0条
保存日线数据，代码： 300484, 插入：1013条, 更新：   0条
保存日线数据，代码： 300484, 插入：1013条, 更新：   0条
保存日线数据，代码： 002283, 插入：1170条, 更新：   0条
保存日线数据，代码： 002283, 插入：1170条, 更新：   0条
保存日线数据，代码： 002539, 插入：1303条, 更新：   0条
保存日线数据，代码： 002539, 插入：1303条, 更新：   0条
保存日线数据，代码： 000915, 插入：1308条, 更新：   0条
保存日线数据，代码： 000915, 插入：1308条, 更新：   0条
保存日线数据，代码： 300019, 插入：1232条, 更新：   0条
保存日线数据，代码： 300019, 插入：1232条, 更新：   0条
保存日线数据，代码： 603583, 插入： 398条, 更新：   0条
保存日线数据，代码： 603583, 插入： 398条, 更新：   0条
保存日线数据，代码： 002007, 插入：1305条, 更新：   0条
保存日线数据，代码： 002007, 插入：1305条, 更新：   0条
保存日线数据，代码： 601828, 插入： 564条, 更新：   0条
保存日线数据，代码： 601828, 插入： 564条, 更新：   0条
保存日线数据，代码： 600198, 插入：1301条, 更新：   0条
保存日线数据，代码： 600198, 插入：1301条, 更新：   0条
保存日线数据，代码： 603818, 插入：1201条, 更新：   0条
保存日线数据，代码： 603818, 插入：1201条, 更新：   0条
保存日线数据，代码： 300263, 插入：1234条, 更新：   0条
保存日线数据，代码： 300263, 插入：1234条, 更新：   0条
保存日线数据，代码： 300567, 插入： 849条, 更新：   0条
保存日线数据，代码： 300567, 插入： 849条, 更新：   0条
保存日线数据，代码： 603208, 插入： 797条, 更新：   0条
保存日线数据，代码： 603208, 插入： 797条, 更新：   0条
保存日线数据，代码： 688396, 插入：  55条, 更新：   0条
保存日线数据，代码： 688396, 插入：  55条, 更新：   0条
保存日线数据，代码： 300429, 插入：1161条, 更新：   0条
保存日线数据，代码： 300429, 插入：1161条, 更新：   0条
保存日线数据，代码： 688028, 插入： 200条, 更新：   0条
保存日线数据，代码： 688028, 插入： 200条, 更新：   0条
保存日线数据，代码： 300666, 插入： 698条, 更新：   0条
保存日线数据，代码： 300666, 插入： 698条, 更新：   0条
保存日线数据，代码： 603828, 插入：1182条, 更新：   0条
保存日线数据，代码： 603828, 插入：1182条, 更新：   0条
保存日线数据，代码： 000620, 插入：   1条, 更新：   0条
保存日线数据，代码： 000620, 插入：   1条, 更新：   0条
保存日线数据，代码： 300568, 插入： 842条, 更新：   0条
保存日线数据，代码： 300568, 插入： 842条, 更新：   0条
保存日线数据，代码： 300313, 插入：1084条, 更新：   0条
保存日线数据，代码： 300313, 插入：1084条, 更新：   0条
保存日线数据，代码： 000823, 插入：1308条, 更新：   0条
保存日线数据，代码： 000823, 插入：1308条, 更新：   0条
保存日线数据，代码： 300598, 插入： 802条, 更新：   0条
保存日线数据，代码： 300598, 插入： 802条, 更新：   0条
保存日线数据，代码： 688008, 插入： 200条, 更新：   0条
保存日线数据，代码： 688008, 插入： 200条, 更新：   0条
保存日线数据，代码： 300056, 插入：1134条, 更新：   0条
保存日线数据，代码： 300056, 插入：1134条, 更新：   0条
保存日线数据，代码： 300274, 插入：1287条, 更新：   0条
保存日线数据，代码： 300274, 插入：1287条, 更新：   0条
保存日线数据，代码： 688368, 插入： 146条, 更新：   0条
保存日线数据，代码： 688368, 插入： 146条, 更新：   0条
保存日线数据，代码： 002919, 插入： 584条, 更新：   0条
保存日线数据，代码： 002919, 插入： 584条, 更新：   0条
保存日线数据，代码： 600361, 插入：1308条, 更新：   0条
保存日线数据，代码： 600361, 插入：1308条, 更新：   0条
保存日线数据，代码： 603085, 插入：1169条, 更新：   0条
保存日线数据，代码： 603085, 插入：1169条, 更新：   0条
保存日线数据，代码： 603078, 插入： 758条, 更新：   0条
保存日线数据，代码： 603078, 插入： 758条, 更新：   0条
保存日线数据，代码： 688039, 插入： 104条, 更新：   0条
保存日线数据，代码： 688039, 插入： 104条, 更新：   0条
保存日线数据，代码： 300139, 插入：   1条, 更新：   0条
保存日线数据，代码： 300139, 插入：   1条, 更新：   0条
保存日线数据，代码： 300661, 插入： 710条, 更新：   0条
保存日线数据，代码： 300661, 插入： 710条, 更新：   0条
保存日线数据，代码： 300721, 插入： 609条, 更新：   0条
保存日线数据，代码： 300721, 插入： 609条, 更新：   0条
保存日线数据，代码： 688189, 插入：  35条, 更新：   0条
保存日线数据，代码： 688189, 插入：  35条, 更新：   0条
保存日线数据，代码： 300171, 插入：1304条, 更新：   0条
保存日线数据，代码： 300171, 插入：1304条, 更新：   0条
保存日线数据，代码： 688233, 插入：  59条, 更新：   0条
保存日线数据，代码： 688233, 插入：  59条, 更新：   0条
保存日线数据，代码： 603801, 插入： 702条, 更新：   0条
保存日线数据，代码： 603801, 插入： 702条, 更新：   0条
保存日线数据，代码： 300206, 插入：1306条, 更新：   0条
保存日线数据，代码： 300206, 插入：1306条, 更新：   0条
保存日线数据，代码： 600176, 插入：1296条, 更新：   0条
保存日线数据，代码： 600176, 插入：1296条, 更新：   0条
保存日线数据，代码： 603118, 插入：1244条, 更新：   0条
保存日线数据，代码： 603118, 插入：1244条, 更新：   0条
保存日线数据，代码： 002661, 插入：1242条, 更新：   0条
保存日线数据，代码： 002661, 插入：1242条, 更新：   0条
保存日线数据，代码： 603183, 插入： 649条, 更新：   0条
保存日线数据，代码： 603183, 插入： 649条, 更新：   0条
保存日线数据，代码： 603506, 插入： 554条, 更新：   0条
保存日线数据，代码： 603506, 插入： 554条, 更新：   0条
保存日线数据，代码： 300294, 插入：1188条, 更新：   0条
保存日线数据，代码： 300294, 插入：1188条, 更新：   0条
保存日线数据，代码： 002277, 插入：1300条, 更新：   0条
保存日线数据，代码： 002277, 插入：1300条, 更新：   0条
保存日线数据，代码： 688598, 插入：   1条, 更新：   0条
保存日线数据，代码： 688598, 插入：   1条, 更新：   0条
保存日线数据，代码： 002560, 插入：1243条, 更新：   0条
保存日线数据，代码： 002560, 插入：1243条, 更新：   0条
保存日线数据，代码： 603059, 插入： 538条, 更新：   0条
保存日线数据，代码： 603059, 插入： 538条, 更新：   0条
保存日线数据，代码： 300132, 插入：1197条, 更新：   0条
保存日线数据，代码： 300132, 插入：1197条, 更新：   0条
保存日线数据，代码： 300454, 插入： 489条, 更新：   0条
保存日线数据，代码： 300454, 插入： 489条, 更新：   0条
保存日线数据，代码： 603690, 插入： 728条, 更新：   0条
保存日线数据，代码： 603690, 插入： 728条, 更新：   0条
保存日线数据，代码： 600803, 插入：1256条, 更新：   0条
保存日线数据，代码： 600803, 插入：1256条, 更新：   0条
保存日线数据，代码： 688123, 插入：  96条, 更新：   0条
保存日线数据，代码： 688123, 插入：  96条, 更新：   0条
保存日线数据，代码： 300707, 插入： 635条, 更新：   0条
保存日线数据，代码： 300707, 插入： 635条, 更新：   0条
保存日线数据，代码： 688365, 插入：  12条, 更新：   0条
保存日线数据，代码： 688365, 插入：  12条, 更新：   0条
保存日线数据，代码： 600753, 插入：1082条, 更新：   0条
保存日线数据，代码： 600753, 插入：1082条, 更新：   0条
保存日线数据，代码： 603578, 插入： 774条, 更新：   0条
保存日线数据，代码： 603578, 插入： 774条, 更新：   0条
保存日线数据，代码： 603988, 插入：1294条, 更新：   0条
保存日线数据，代码： 603988, 插入：1294条, 更新：   0条
保存日线数据，代码： 300677, 插入： 687条, 更新：   0条
